,country,page,rev_id
28889,Ivorian,Aya Virginie Toure,790279945
29092,Jersey,"Henry Carteret, 1st Baron Carteret",790484914
29199,Montserratian,Reuben Meade,790614135
29219,Tokelauan,Salesio Lui,790644183
29220,Tokelauan,Kuresa Nasau,790644216
29223,Tokelauan,Patuki Isaako,790644404
29226,Tokelauan,Kolouei O'Brien,790647368
29394,Pitcairn Islands,List of high commissioners of the United Kingdom to New Zealand,790881651
29560,Guernsey,Francis Weston,791169532
29570,Ivorian,Bernard Zadi Zaourou,791177695
29654,Pitcairn Islands,Betty Christian,791265995
30023,Chechen,Ruslan Khasbulatov,791803238
30176,Montserratian,Wilfred Bennett Davidson-Houston,791981452
30189,Somaliland,List of Presidents of Somaliland,792010538
30295,Cape Colony,Philip Edmond Wodehouse,792178662
30449,Guernsey,Richard Collas,792424069
30515,Jersey,Frank Walker (Jersey politician),792567273
30531,Faroese,Annika Olsen,792595685
30716,Dagestani,Magomedsalam Magomedov,792949749
30750,South African Republic,"Heroes' Acre, Pretoria",793010122
30917,Jersey,Carolyn Labey,793221391
30949,Faroese,Páll á Reynatúgvu,793276089
30950,Faroese,Atli Dam,793277402
31005,Faroese,Henrik Old,793353435
31008,Guernsey,Victor Carey,793355768
31039,Faroese,Marita Petersen,793394960
31048,Jersey,Cecil Stanley Harrison,793405839
31248,Cape Colony,Charles Aken Fairbridge,793643575
31283,Ivorian,Charles Konan Banny,793682835
31408,Montserratian,Elizabeth Carriere,793896767
31592,Chechen,Sergey Abramov (politician),794171049
31612,Cape Colony,William Howley Goodenough,794193433
31613,Ivorian,Christine Adjobi,794194775
31697,Cape Colony,George Thomas Napier,794346758
31819,Rhodesian,Ken Flower,794528943
31876,South African Republic,"Clarens, Switzerland",794593079
31973,Cape Colony,William Butler (British Army officer),794705198
32048,Cook Island,Robert Wigmore,794802546
32049,Cook Island,Pukeiti Pukeiti,794802590
32096,Chechen,Malik Saidullaev,794893770
32118,Pitcairn Islands,Meralda Warren,794905581
32291,Jersey,List of Bailiffs of Jersey,795069319
32454,Rhodesian,Andrew Skeen (Rhodesia),795348776
32468,Rhodesian,Hugh Beadle,795369277
32539,Rhodesian,Hugh Marshall Hole,795483112
32714,Cape Colony,"Sir George Yonge, 5th Baronet",795625420
32717,Tokelauan,Afega Gaualofa,795631781
32718,Tokelauan,Siopili Perez,795633170
32730,Pitcairn Islands,Victoria Treadell,795649021
32741,South Ossetian,President of South Ossetia,795669553
32743,Jersey,John Le Couteur,795676915
33081,Jersey,Jim Perchard,796095584
33124,Faroese,Pauli Ellefsen,796170338
33125,Jersey,Bryan Ian Le Marquand,796170389
33126,Faroese,Rasmus Rasmussen (writer),796170437
33151,Pitcairn Islands,Charles Richard Parkin Christian,796203049
33152,Pitcairn Islands,Warren Clive Christian,796203180
33153,Pitcairn Islands,Jay Warren,796203252
33276,Cape Colony,Christoffel Brand,796352977
33455,Pitcairn Islands,Robert Alston,796592041
33510,Cape Colony,Henry Barkly,796646347
33630,Niuean,Togia Sioneholo,796747380
33760,Dagestani,Sagid Murtazaliev,796896055
33818,Ossetian,Alla Dzhioyeva,796950389
33896,Cape Colony,Lord Charles Somerset,797029963
34012,Ivorian,Charles Blé Goudé,797168824
34042,Chechen,Akhmed Zakayev,797214106
34060,Pitcairn Islands,Butterworth Stavely,797221428
34108,Chechen,Sheikh Mansur,797258871
34144,Cook Island,John Henry (Cook Islands politician),797303432
34145,Cook Island,Geoffrey Henry,797303508
34146,Cook Island,Albert Henry (politician),797303536
34162,Rhodesian,Roy Welensky,797314307
34236,Rhodesian,Abel Muzorewa,797407618
34275,Faroese,Peter Mohr Dam,797450160
34312,Faroese,Knút Wang,797493287
34314,Faroese,Sjúrður Skaale,797493405
34366,Rhodesian,Signatories of Rhodesia's Unilateral Declaration of Independence,797546082
34523,Jersey,Andrew Green (Jersey politician),797693636
34571,Cape Colony,Benjamin D'Urban,797735815
34572,Ivorian,Sékou Sanogo,797736207
34576,Ivorian,Paul Antoine Bohoun Bouabré,797737768
34584,Jersey,Geraint Jennings,797746493
34598,Niuean,Premier of Niue,797757076
34678,South Ossetian,Prime Minister of South Ossetia,797825875
34799,Cape Colony,John Charles Molteno,797978795
34943,Cape Colony,"George Macartney, 1st Earl Macartney",798165649
34998,Jersey,Ian Gorst,798244483
35022,Montserratian,"Government House, Montserrat",798265888
35061,Guernsey,Daniel de Lisle Brock,798315235
35143,Cape Colony,William Porter (Attorney General),798383131
35144,Rhodesian,Jack Howman,798384751
35302,Rhodesian,Ethel Tawse Jollie,798492985
35395,Chechen,Ali Mitayev,798580067
35501,Abkhazia,Efrem Eshba,798644673
35533,Somaliland,Dahir Riyale Kahin,798692052
35571,Cape Colony,David Tennant (politician),798742813
35941,Ivorian,Léon Konan Koffi,799061508
36065,Tokelauan,David Payton,799209983
36188,Montserratian,Donaldson Romeo,799317293
36210,Rhodesian,Alan David Butler,799332728
36215,South Ossetian,Leonid Tibilov,799335775
36252,Cape Colony,Andries Stockenström,799373837
36375,Cape Colony,"Sir Harry Smith, 1st Baronet",799472552
36386,Ivorian,Paul Yao N'Dré,799484902
36424,Jersey,George Carteret,799514955
36483,Rhodesian,Jack William Pithey,799548505
36484,Rhodesian,President of Rhodesia,799548556
36487,Pitcairn Islands,Gerard Bromley Robert Christian,799551777
36488,Pitcairn Islands,Ivan Christian,799551778
36489,Pitcairn Islands,Pervis Ferris Young,799551779
36490,Pitcairn Islands,Thursday October Christian II,799551780
36491,Pitcairn Islands,Brenda Christian,799551784
36569,Rhodesian,Denis Walker,799608339
36577,Abkhazia,Garri Aiba,799618550
36705,Cook Island,Jim Marurai,799769949
36811,Ivorian,Daniel Kablan Duncan,799873303
37072,Ivorian,Augustin Thiam,800116906
37096,Pitcairn Islands,Shawn Christian (mayor),800137512
37140,Cape Colony,Charles Henry Darling,800159179
37158,Ivorian,Simone Gbagbo,800169882
37538,Rhodesian,James Cowden,800407772
37545,Rhodesian,Herbert Chitepo,800416336
37633,Rhodesian,Thomas Nangle,800479460
37646,South African Republic,"Statue of Paul Kruger, Church Square",800488968
37838,Jersey,Stuart Syvret,800714278
37857,Faroese,Høgni Hoydal,800723683
37898,Ivorian,Henriette Diabaté,800750399
37913,Cape Colony,John Paterson (Cape politician),800767317
38139,Rhodesian,Timothy Stamps,800986051
38180,Chechen,Turpal-Ali Atgeriyev,801036587
38227,South Ossetian,Eduard Kokoity,801087048
38343,Jersey,Edward Trevor (Jersey),801172575
38347,Montserratian,Premier of Montserrat,801175821
38349,Pitcairn Islands,List of rulers of the Pitcairn Islands,801175970
38540,Ivorian,Félix Houphouët-Boigny,801282263
38544,Jersey,Philip Ozouf Jr,801284949
38675,Cape Colony,John X. Merriman,801351302
